,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2016-09-01,1327.7965407141892,1348.4205994087142,1321.658428007485,1332.412353515625,409739,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
1,2016-09-02,1333.688980033143,1353.3309385019668,1322.8859028752895,1349.6480712890625,212780,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
2,2016-09-06,1350.090080025625,1382.7939915583893,1347.438463365135,1379.74951171875,244571,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
3,2016-09-07,1384.7582763982205,1389.6196138826324,1347.438549800254,1352.103515625,257776,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
4,2016-09-08,1352.1034148593826,1360.696772317178,1333.6890774498213,1339.8763427734375,202360,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
5,2016-09-09,1338.7470872661916,1341.3005184221886,1323.9664624846112,1328.876953125,129028,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
6,2016-09-12,1320.921721310942,1325.7340251648372,1283.7001856330608,1289.4454345703125,206870,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
7,2016-09-14,1281.6379572756734,1290.4768397396435,1263.665514978261,1271.325927734375,212815,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
8,2016-09-15,1275.254223328248,1276.6782174411117,1250.210724910943,1256.005126953125,278462,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
9,2016-09-16,1261.5049688835247,1296.222111625114,1250.4563656138168,1282.1290283203125,339922,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
10,2016-09-19,1278.6915718581763,1289.985698644942,1266.9063960806816,1276.972900390625,139657,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
11,2016-09-20,1272.7989475992931,1287.5304169002109,1266.9063598789262,1274.124755859375,163986,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
12,2016-09-21,1276.5310254330846,1294.3069752154083,1275.3524359047756,1288.365234375,250010,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
13,2016-09-22,1295.0926533692284,1320.9218800938431,1295.0926533692284,1317.9755859375,341784,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
14,2016-09-23,1320.6763194121372,1323.5244276622725,1300.2977853888603,1315.2747802734375,239458,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
15,2016-09-26,1316.9932915423929,1318.8593015402207,1303.2439208626065,1313.0157470703125,158922,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
16,2016-09-27,1326.8145221646375,1337.1265521296475,1311.9357120952616,1333.5418701171875,151778,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
17,2016-09-28,1337.1756212852476,1346.2108752111935,1322.8860469884935,1334.7694091796875,210283,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
18,2016-09-29,1330.8409329610513,1342.4297369418184,1303.784205863464,1312.0828857421875,290220,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
19,2016-09-30,1296.4677047651812,1307.1725982545638,1266.906575318097,1289.8876953125,259945,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
20,2016-12-01,1171.6428798078584,1199.2398088254934,1168.6965858938404,1185.588623046875,177639,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23
21,2016-12-02,1188.2895719675562,1205.9673381220157,1173.656405892162,1176.50439453125,186602,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23
22,2016-12-05,1188.3385191239242,1190.744611146661,1168.7947459481086,1177.437255859375,269574,0.0,0,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23
