,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt-Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2016-03-01,221.1322943370791,226.9601538149504,220.9924314008792,225.60809326171875,1854784,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
1,2016-03-02,226.5871516800049,230.13049270005888,225.7479456983844,227.1000061035156,2676742,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
2,2016-03-03,228.2189528162893,229.99061621736388,224.8154889354251,228.5453186035156,2382139,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
3,2016-03-04,226.16756093007453,235.91173859147955,226.16756093007453,232.69476318359372,863628,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
4,2016-03-08,231.24941883410827,234.32653088197023,229.33787845375687,231.80889892578125,814441,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
5,2016-03-09,230.1305217512024,230.31701041197428,225.09524254132435,229.24468994140625,1948003,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
6,2016-03-10,229.38453160170013,231.15619505694875,227.61286814645152,229.33790588378903,823429,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
7,2016-03-11,229.38455066730097,234.04683828249003,227.6128870647982,232.9745178222656,781595,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
8,2016-03-14,235.25904730204465,237.31045110644604,232.64816326545497,234.09347534179688,1255475,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
9,2016-03-15,236.56445681867476,236.56445681867476,229.24467423076567,230.68997192382807,1913003,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
10,2016-03-16,229.19801903642804,232.92784842928063,227.65945587497436,230.55007934570312,2569912,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
11,2016-03-17,231.0629873983491,233.11439119523249,229.6643010511777,231.20285034179688,1021608,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
12,2016-03-18,232.1819290825788,233.95359272969068,229.01157911569229,232.7414093017578,1033786,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
13,2016-03-21,234.04683839224572,236.75095951905445,233.11438086877067,236.0050048828125,612911,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
14,2016-03-22,235.1657637042388,238.5226161821035,230.9230795033233,232.7879943847656,1496853,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
15,2016-03-23,230.50348385053405,233.62722206782288,230.50348385053405,232.13528442382807,519794,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
16,2016-03-28,233.06772786390167,233.06772786390167,225.65469426568387,227.1000061035156,1264277,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
17,2016-03-29,227.10000676149636,229.1980359497973,226.354037982244,228.5453186035156,614581,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
18,2016-03-30,229.24468674640173,232.69477672120243,229.19806102481544,230.0838928222656,2079588,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
19,2016-03-31,230.3636379722593,234.79281128475264,229.7575320346986,233.0211334228516,2028211,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
20,2016-06-01,270.3194480283141,273.2100722312452,269.0606245980953,270.5059509277344,887968,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
21,2016-06-02,270.4126898477914,279.73726535978426,269.52684379161366,279.08453369140625,1923473,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
22,2016-06-03,279.7372754715784,286.1246156194489,277.685857402248,285.23876953125,2262884,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
23,2016-06-06,286.26450805160886,290.8335449969932,281.742082607732,282.7677917480469,2192877,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
24,2016-06-07,284.77246552909884,288.1293176394674,282.72107645789674,286.8238830566406,1058429,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
25,2016-06-08,287.10371989355093,288.9686352919584,284.9590785679227,286.87060546875,671346,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
26,2016-06-09,286.8705793076031,288.1294027779999,281.835313882364,282.86102294921875,558781,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
27,2016-06-10,284.3994842726433,285.2853301143889,280.1101748841487,281.1824951171875,1645203,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
28,2016-06-13,277.8723191648774,284.3995212929114,277.0797246437761,282.9542236328125,1650657,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
29,2016-06-14,282.5345719366927,287.56983584429656,282.0217317860101,287.1036071777344,1015292,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
30,2016-06-15,287.19696694855884,292.0457582925681,286.4976236848854,291.159912109375,1098536,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
31,2016-06-16,291.11328491592985,293.9572693190305,289.9943243718271,292.88494873046875,829794,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
32,2016-06-17,293.9106841491723,295.3093707264247,290.69369363895134,293.8640441894531,1060702,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
33,2016-06-20,292.37204154492827,294.65657383217774,290.74024089870574,292.0923156738281,1061429,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
34,2016-06-21,291.7659597704752,293.2112860372061,287.1036720513677,288.8753356933594,1068768,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
35,2016-06-22,288.17599253549326,292.55855437399265,287.75640371458115,288.8753356933594,685077,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
36,2016-06-23,288.1293821877252,289.8077943907463,284.3529405027546,285.9847412109375,1101184,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
37,2016-06-24,283.047474056449,291.11325451893043,277.9189576014517,289.8544311523437,1123598,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
38,2016-06-27,290.9267362794105,297.9201674399732,289.99427879133543,297.3606872558594,1204741,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
39,2016-06-28,298.19986020963483,298.38636306908944,290.7402011329076,291.8591613769531,1685023,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
40,2016-06-29,292.7010782059116,295.788067456272,281.9902375177854,284.7497863769531,3337475,1.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
41,2016-06-30,288.1173686401895,290.2221221448662,284.9368579426318,288.72540283203125,1919520,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
42,2016-09-01,271.84064296848595,275.7694994686132,271.84064296848595,274.78729248046875,688683,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
43,2016-09-02,274.92762578939795,278.2484768472286,271.84066482343604,277.8275146484375,1474040,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
44,2016-09-06,278.2952538316035,281.0548316331567,277.6404300506254,280.30645751953125,886657,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
45,2016-09-07,278.7629388525904,281.56927716318694,277.3597696972921,277.9678039550781,990152,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
46,2016-09-08,277.87425482905,280.1661092115702,275.95660172759005,279.5580749511719,844056,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
47,2016-09-09,278.7629209325789,279.6983669759768,273.1502446721914,273.8985900878906,730794,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
48,2016-09-12,271.2793777649661,273.15027002541416,266.602147113846,271.7471008300781,1241032,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
49,2016-09-14,271.5132114576257,275.90981923788786,271.5132114576257,274.3195495605469,1552329,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
50,2016-09-15,274.6937202802222,276.4243011406971,271.32610887153675,274.9275817871094,879097,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
51,2016-09-16,275.90982191923433,278.29519791087995,272.7760719643418,273.8985900878906,787652,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
52,2016-09-19,274.74056001396326,276.42435175282753,272.682566957527,275.3953552246094,554995,0.0,0,0.04,0.91,4.81,9.3,14.28,118.87,23.83,17.28,42.5,34.52,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
