MonthYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
21-Dec,2846.17,11.82,2857.99,2421.76,2389.31,62.1,198.72,97.41,276.72,101.31,175.41,12.2
21-Sep,2823.2,8.29,2831.49,2384.34,2394.7,64.39,196.87,93.73,289.03,103.14,185.89,12.93
21-Jun,2994.71,8.74,3003.45,2610.86,2553.01,63.76,178.79,96,232.83,82.79,150.04,10.44
21-Mar,2410.07,10.74,2420.81,2082.24,1998.93,68.27,154.78,101.4,168.9,53.38,115.52,8.1
20-Dec,2367.01,0.93,2367.94,2045.09,1985.07,75.77,140.86,91.78,155.3,49.08,106.22,7.64
20-Sep,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34
20-Jun,1961.52,1.69,1963.21,1920.07,1590.2,102.62,89.63,126.44,-185.92,-36.81,-149.11,-10.72
20-Mar,2572.15,163.58,2735.73,2223.81,2300.44,107.29,199.03,129.05,275.58,69.98,205.6,14.78
19-Dec,2529.5,3.01,2532.51,2152.81,2103.84,110.98,173.97,123.08,145.64,50.89,94.75,6.81
19-Sep,2463.58,3.94,2467.52,2099.16,2040.91,107.69,170.07,120.32,140.35,49.75,90.6,6.51
19-Jun,2229.2,4.74,2233.94,1903.4,1846.48,99.91,151.32,109.81,120.82,41.51,79.31,5.7
19-Mar,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51
18-Dec,2169.04,8.11,2177.15,1901.18,1749.35,69,120.04,76.57,130.4,43.47,86.93,6.25
18-Sep,2090.12,-0.07,2090.05,1832.31,1669.86,66.02,112.74,73.88,117.84,38.86,78.98,5.68
18-Jun,1910.39,2.05,1912.44,1683.74,1533.76,62.07,106.47,72.4,94.23,34.07,60.16,4.32
18-Mar,1863.42,5.37,1868.79,1649.37,1490.05,62.42,97.36,73.14,83.86,24.22,59.64,4.29
17-Dec,1856.11,8.02,1864.13,1635,1503.31,63.54,98.15,67.75,97.84,30.4,67.44,4.85
17-Sep,1813.12,2.74,1815.86,1591.99,1452.97,58.75,94.22,66.48,98.64,27.74,70.9,5.1
17-Jun,1650.36,-3.54,1646.82,1476.94,1316.08,55.46,79.21,64.64,49.78,14.57,35.21,2.53
17-Mar,1624.5,9.13,1633.63,1454.44,1294.7,57.8,73.23,62.79,58.6,10.44,48.16,3.46
16-Dec,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73,61.76,84.07,11.24,72.83,5.23
16-Sep,1634.1,9.44,1643.54,1412.19,1308.32,46.88,92.48,60.3,124.17,32.18,91.99,6.61
Jun-16,1465.43,4.23,1469.66,1277.48,1166.51,44.38,75.63,55.73,92.07,19.9,72.17,5.19
Mar-16,1447.86,9.48,1457.34,1265.71,1145.09,43.83,66.49,48.53,99.27,17.96,81.31,5.84
Dec-15,1425,66.19,1491.19,1264.97,1180.61,32.03,71.86,53.78,140.41,18.08,122.33,6.61
Sep-15,1409.73,0.94,1410.67,1213.52,1129.3,30.85,76.75,49.54,116.76,27.21,89.55,6.44
Jun-15,1305.73,5.27,1311,1128.07,1043.74,26.86,68.56,48.65,107.42,19.91,87.51,6.29
Mar-15,1203.69,5.33,1209.02,1029.19,1000.88,22.56,79.94,40.63,116.64,39.31,77.33,5.56
Dec-14,1182.53,25.8,1208.33,1023.04,997,21.67,68.61,38.64,124.98,29.97,95.01,6.83
Sep-14,1152.85,8.2,1161.05,980.26,969.02,20.14,69.15,38.85,121.8,30.3,91.5,6.58
Jun-14,1053.72,6.45,1060.17,897.43,886.67,18.92,61.08,39.92,103.9,21.16,82.74,5.95
Mar-14,998.18,7.03,1005.21,848.13,833.05,20.94,54.8,33.12,103.02,21.68,81.34,5.85
Dec-13,993.34,3.81,997.15,835.58,837.95,23.11,55.02,33.51,104.95,21.51,83.44,6
