,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2016-03-01,3003.3817745631018,3293.40821342072,3003.3817745631018,3278.770751953125,1924803,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
1,2016-03-02,3324.325144687793,3403.8454765849747,3321.6041866129326,3389.72412109375,1236996,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
2,2016-03-03,3402.0623190802053,3421.9540820227003,3357.2118742739844,3385.970458984375,742263,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
3,2016-03-04,3395.6821693773186,3395.6821693773186,3308.420925455768,3335.725341796875,610234,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
4,2016-03-08,3333.7076288688745,3376.869101176524,3237.673490429601,3248.979736328125,1100041,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
5,2016-03-09,3241.66137267287,3377.8544978085097,3228.759845077074,3355.710693359375,752948,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
6,2016-03-10,3377.854697691211,3410.4134179899816,3352.8960130169867,3403.376220703125,1016572,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
7,2016-03-11,3409.475253619584,3462.301195727204,3392.9144736767016,3416.512451171875,1002559,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
8,2016-03-14,3434.152065787841,3456.671095727433,3403.2353600816923,3423.033203125,483295,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
9,2016-03-15,3443.5346642539525,3452.8236715818634,3392.3977053433696,3429.0380859375,688839,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
10,2016-03-16,3424.769110418384,3448.2264330924822,3413.0404490813344,3441.048583984375,459188,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
11,2016-03-17,3458.8761903368663,3518.598442944951,3396.620363589526,3411.116943359375,710449,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
12,2016-03-18,3415.386422965588,3424.4878189919204,3337.5550666419394,3397.93408203125,1073782,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
13,2016-03-21,3406.097425008216,3451.792247140434,3382.5461796721424,3443.113037109375,474712,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
14,2016-03-22,3442.596581272387,3505.4152438563747,3426.645602291294,3471.261474609375,713115,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
15,2016-03-23,3482.8024770494003,3512.9685011543097,3440.2038433561843,3505.462158203125,586282,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
16,2016-03-28,3527.042986583352,3544.682938795819,3405.956242864949,3414.40087890625,743468,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
17,2016-03-29,3423.830878181684,3536.4260290125426,3420.0777064873223,3499.78564453125,686482,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
18,2016-03-30,3513.907273457873,3518.504817512596,3456.671400645876,3497.440185546875,872340,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
19,2016-03-31,3508.746622955709,3517.425833080684,3437.9055024761915,3486.978271484375,1223191,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
20,2016-06-01,3913.3383179389,3940.7833848196033,3893.915471962997,3908.318359375,647041,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
21,2016-06-02,3893.9153692464856,3936.09181656648,3869.519754884941,3928.3037109375,411143,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
22,2016-06-03,3933.46486169952,3973.6708079031655,3922.064693514813,3957.673095703125,591630,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
23,2016-06-06,3955.843102573485,3956.7813955295032,3863.890392883684,3886.409423828125,443085,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
24,2016-06-07,3917.373091323998,3930.462461320621,3863.8903928316704,3880.451171875,471388,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
25,2016-06-08,3876.088161753357,3912.493744814979,3870.177099451111,3903.392578125,417715,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
26,2016-06-09,3895.838645552717,3931.2124692668513,3884.532399967722,3911.883544921875,305434,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
27,2016-06-10,3908.083850854247,3938.015302745064,3847.0008914116656,3857.791259765625,464892,0.0,0,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,22.9,16.89,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638.0,2046.8,555.9,1490.9,49.35
