,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt-Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2016-03-01,978.610080279605,1019.70906977397,964.7765588529438,1015.938232421875,1999760,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
1,2016-03-02,1028.5890286491592,1039.745091866612,1006.834705375126,1034.76953125,1527486,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
2,2016-03-03,1042.4223804275164,1066.96571558313,1026.8038944193986,1059.000244140625,2648284,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
3,2016-03-04,1062.0573084002783,1062.0573084002783,1048.4692440378744,1052.0391845703125,1512966,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
4,2016-03-08,1045.1449726907042,1056.2563712945052,1028.2323105879937,1050.589111328125,1268152,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
5,2016-03-09,1044.653953074043,1057.327199656835,1024.193685767152,1051.9053955078125,2017784,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
6,2016-03-10,1051.3698791062911,1053.0656227425568,1033.0292650240049,1047.9114990234375,1661666,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
7,2016-03-11,1044.207836570857,1066.899319674724,1041.9766232448503,1055.4754638671875,1530528,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
8,2016-03-14,1054.0249430856886,1070.0896754951234,1044.2076066132563,1050.9012451171875,1636742,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
9,2016-03-15,1048.24592629833,1054.694108387377,1035.3272282069067,1039.7003173828125,1623356,0.0,0.0,0.0,2.6,5.47,8047.24,4.76,2257.85,35.88,26.87,52.25,41.81,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
