Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,Unnamed: 0,Open_fib,High_fib,Low_fib,Close_fib,Volume_fib,Dividends_fib,Stock Splits_fib,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2016-01-01,1426.2569019277717,1447.281600859172,1416.9669186790136,1428.506103515625,107024,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,64.07724627189094,1.9393772536268432,1415.803545103957,27.112705902666903,-1388.69083920129,1388.802525032234,56.63555568769775,1403.8246459960938,1458.3131211966547,1349.3361707955328,447,1426.2569019277717,1447.281600859172,1416.9669186790136,1428.506103515625,107024,0.0,0,1430.119468447946,1391.835094227181,1,1430.119468447946,1310.376592291332,1310.376592291332,1356.1183709831585,1370.248030369639,1384.3776897561197,1404.4944929504306,1430.119468447946,1462.450045010232,1504.1205659127336,1623.8634420693477,1447.281600859172,119.7428761566141,1416.9669186790136,1418.0423583984375,1413.0553721587253
2016-01-04,1418.3357739939363,1437.5024494455402,1413.0551288767383,1418.0423583984375,121226,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,60.42223854927932,1.6704496328644107,1416.2513077628532,25.88759392456313,-1390.36371383829,1391.460691701889,59.08096477162574,1407.320600237165,1458.384359220718,1356.2568412536125,448,1418.3360181850778,1437.502696936558,1413.0553721587253,1418.0426025390625,121226,0.0,0,1430.119468447946,1391.835094227181,1,1430.119468447946,1310.376592291332,1310.376592291332,1356.1183709831585,1370.248030369639,1384.3776897561197,1404.4944929504306,1430.119468447946,1462.450045010232,1504.1205659127336,1623.8634420693477,1437.502696936558,119.7428761566141,1413.0553721587253,1436.03564453125,1400.733736660556
2016-01-05,1418.922519724102,1464.59006788936,1400.733736660556,1436.03564453125,667535,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,64.20347113946659,1.9486646083725443,1420.2081751165326,26.068094899041853,-1394.1400802174908,1395.5129601409217,52.77048249044943,1412.6605747767858,1458.333773009252,1366.9873765443197,449,1418.922519724102,1464.59006788936,1400.733736660556,1436.03564453125,667535,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1464.59006788936,163.20994157615496,1400.733736660556,1423.176513671875,1413.152989493047
2016-01-06,1422.8342750058357,1447.2815993186507,1413.1531107036208,1423.176513671875,233987,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,59.80590815473511,1.6251013657231543,1420.8018428276011,24.88664112218408,-1395.915201705417,1398.0278286437356,57.80617839316257,1418.077401297433,1444.1705824316566,1391.984220163209,450,1422.834152964878,1447.2814751807691,1413.152989493047,1423.1763916015625,233987,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1447.2814751807691,163.20994157615496,1413.152989493047,1365.774169921875,1349.6877597727553
2016-01-07,1399.3647678330465,1417.9447333039254,1349.6877597727553,1365.774169921875,184861,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,44.99143792107656,0.5350844532699685,1409.796308246456,19.09828790815368,-1390.6980203383025,1395.0956778508391,54.02604017698029,1416.135602678571,1452.3601129743497,1379.911092382793,451,1399.3647678330465,1417.9447333039254,1349.6877597727553,1365.774169921875,184861,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1417.9447333039254,163.20994157615496,1349.6877597727553,1373.49951171875,1355.897680642407
2016-01-08,1369.0989936967037,1386.7010657848894,1355.8974396305643,1373.49951171875,168754,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,46.89789289220324,0.675357316800191,1402.5369489409147,14.961875614198108,-1387.5750733267166,1393.1323900206492,53.35951718891728,1413.247323172433,1456.0740024044208,1370.4206439404452,452,1369.099237055133,1386.701312272101,1355.897680642407,1373.499755859375,168754,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1386.701312272101,163.20994157615496,1355.897680642407,1330.7655029296875,1325.0448534514858
2016-01-11,1373.939497490286,1377.9488344271297,1325.0448534514858,1330.7655029296875,189400,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,38.87230020811026,0.0848514384160733,1388.1826597386694,8.141610288305628,-1380.0410494503635,1387.4626730123798,45.561045965915454,1407.0237426757812,1468.2931026481715,1345.754382703391,453,1373.939497490286,1377.9488344271297,1325.0448534514858,1330.7655029296875,189400,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1377.9488344271297,163.20994157615496,1325.0448534514858,1331.352294921875,1321.1332403179845
2016-01-12,1330.2766365626123,1343.0381871735706,1321.1333614513337,1331.352294921875,117095,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,39.0265979032724,0.096204331541955,1376.8165867753105,2.75212530257204,-1374.0644614727385,1382.3617295496065,44.13061105604584,1400.87699672154,1473.814680635753,1327.9393128073275,454,1330.2765145909257,1343.0380640317908,1321.1332403179845,1331.3521728515625,117095,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1343.0380640317908,163.20994157615496,1321.1332403179845,1335.1661376953125,1301.380126313205
2016-01-13,1334.2371871259852,1364.9918731681762,1301.3800073318591,1335.1661376953125,165141,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,40.0851665615105,0.1740915406202,1368.486496959311,-1.197530750506985,-1369.684027709818,1378.071221199216,39.07702302844208,1396.378696986607,1477.3665335749702,1315.390860398244,455,1334.2373091113664,1364.9919979653678,1301.380126313205,1335.166259765625,165141,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1364.9919979653678,163.20994157615496,1301.380126313205,1346.363037109375,1308.5185090015675
2016-01-14,1325.4361044811726,1363.8672251023993,1308.5185090015675,1346.363037109375,114952,0.0,0,2016,1680.61,3.08,1683.69,1486.53,1333.5,51.33,73.0,61.76,84.07,11.24,72.83,5.23,43.2028010481631,0.4034803924454749,1364.0618049893235,-3.385143593814746,-1367.4469485831385,1375.1886590092306,39.19537525004888,1392.1842302594866,1477.211453595389,1307.1570069235845,456,1325.4361044811726,1363.8672251023993,1308.5185090015675,1346.363037109375,114952,0.0,0,1464.59006788936,1301.380126313205,1,1464.59006788936,1301.380126313205,1301.380126313205,1363.726323995296,1382.9850971012825,1402.2438702072686,1429.6631403920628,1464.59006788936,1508.6567521149218,1565.4538117834236,1728.6637533595788,1363.8672251023993,163.20994157615496,1308.5185090015675,1334.09033203125,1328.9563945248076
