Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2014-02-25,881.4814483011476,888.7448088522293,880.3192987910986,883.9993896484375,49759,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,883.9993896484375,,,,
2014-02-26,890.9237066060616,890.9237066060616,876.8328007051142,880.12548828125,63923,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,883.647216796875,,,,
2014-02-28,867.4388384121925,898.7196952950934,867.4388384121925,891.2626342773438,229839,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,884.3395274769176,,,,
2014-03-03,890.9721314490997,894.7975127483917,872.8137320309795,874.0242919921875,39652,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,883.4017787964876,,,,
2014-03-04,875.0411502731317,882.2560994616244,866.8093425394064,871.1673583984375,74965,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,882.2895587603012,,,,
2014-03-05,874.4116888276675,883.9992881890687,874.4116888276675,878.818115234375,161162,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,881.9739729852171,,,,
2014-03-06,879.8350200012692,885.0646629163534,867.8747106818762,870.0052490234375,117509,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,880.8859071705099,,,,
2014-03-07,879.3507466701561,879.3507466701561,857.0764436157359,859.1586303710938,121701,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,,,,878.9107001887447,,,,
2014-03-10,860.950235920042,861.2891690620883,837.7074848940791,844.8740234375,141440,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,868.3913744218751,,,875.8164568477225,,,,
2014-03-11,846.810871917112,858.0448439732397,826.0860631029046,827.9745483398438,132434,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,860.3080092054688,,,871.4671924379154,,,,
2014-03-12,828.0229775417906,844.0023683364567,825.2144549098889,836.448486328125,141798,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,855.5361046300001,,,868.2836737006617,,,,
2014-03-13,845.454954596813,852.2340893988493,827.53866976286,831.1703491210938,116702,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,850.6629535282188,,,864.9097351025191,,,,
2014-03-14,845.4551165362071,845.4551165362071,830.9283963208084,836.690673828125,221085,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,847.8684975882002,,,862.3443658957559,,,,
2014-03-18,836.0611560341204,849.3289056060559,832.4778865717179,846.859375,124700,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,0.0,-2.7752889503053213,847.6666730705603,,,860.9366394506872,,859.4699009486607,902.747172454809,816.1926294425124
2014-03-19,852.1373740554006,861.7249732858513,833.8336841736927,854.7521362304688,134676,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,38.83134263862493,0.0818378683911019,849.083765702542,,,860.3744118852128,,857.3808114188058,898.3177558069596,816.4438670306521
2014-03-20,846.4235004398911,854.171083967945,842.5497086758642,847.48876953125,53398,0.0,0,2014,1182.53,25.8,1208.33,1023.04,997.0,21.67,68.61,38.64,124.98,29.97,95.01,6.83,36.64231410624164,-0.0792261510781322,848.7647664682836,,,859.2029898530343,,855.0496172223773,894.0798155476731,816.0194188970814
