MonthYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
21-Dec,2224.43,81.06,2305.49,1737.71,1925.83,6.31,167.85,40.37,521.1,127.48,393.62,2.23
21-Sep,2119.89,97.16,2217.05,1639.51,1854.87,3.49,178.89,40.03,534.02,138.86,395.16,2.24
21-Jun,1982.84,71.16,2054,1545.5,1731.9,2.29,153.82,38.59,467.62,115.23,352.39,1.99
21-Mar,1721.86,70.53,1792.39,1389.2,1494.16,3.02,99.9,37.41,362.76,62.49,300.27,1.7
20-Dec,2071.08,68.07,2139.15,1618.2,1754.44,1.72,119.72,35.86,483.37,83.86,399.51,2.26
20-Sep,1900.9,73.23,1974.13,1454.7,1643.8,1.93,124.82,36.05,481.45,88.77,392.68,2.22
20-Jun,1490.89,64.82,1555.71,1163.43,1296.09,2.47,100.38,34.08,355.73,66.3,289.43,1.64
20-Mar,1321.15,67.05,1388.2,1043.05,1155.3,2.64,85.51,33.18,309.33,52.33,257,1.45
19-Dec,1748.18,67.27,1815.45,1376.64,1483.65,4.65,104.16,32.65,401.51,71.51,330,1.87
19-Sep,1612.2,75.12,1687.32,1277.36,1382.82,5.83,78.59,32.83,371.3,45.76,325.54,1.84
19-Jun,1628.27,67.46,1695.73,1331.98,1358.86,6.15,99.79,31.27,326.33,68.52,257.81,1.46
19-Mar,1598.43,63.05,1661.48,1204.69,1420.51,6.31,36.15,28.64,421.84,7.51,414.33,2.35
18-Dec,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
18-Sep,1537.2,75.73,1612.93,1185.73,1361.15,8.09,111.85,26.18,392.93,85.67,307.26,1.74
18-Jun,1473.1,68.61,1541.71,1216.62,1245.55,5.85,88.68,26.04,293.2,62.64,230.56,1.31
18-Mar,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
17-Dec,1449.31,60.58,1509.89,1139.43,1227.32,5.22,99.77,26.15,339.09,73.62,265.47,1.51
17-Sep,1416.39,76.23,1492.62,1097.6,1250.12,4.98,106.63,25.51,364.53,81.12,283.41,1.61
17-Jun,1233.74,75.58,1309.32,1058.67,1043.36,5.77,75.29,24.51,220.37,50.78,169.59,0.96
17-Mar,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90,302.23,1.72
16-Dec,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
16-Sep,1351.58,84.17,1435.75,1064.78,1188.79,4.95,97.3,18.67,347.35,78.63,268.72,1.53
Jun-16,1299.5,54.7,1354.2,1076.48,1081.52,2.41,76.94,17.4,257.91,59.54,198.37,1.13
Mar-16,1432.97,48.06,1481.03,1088.77,1251.61,3.01,102.11,20.06,369.19,82.05,287.14,1.63
Dec-15,1372.85,53.52,1426.37,1087,1148.47,1.92,89.26,17.49,319.96,71.77,248.19,1.41
Sep-15,1320.48,51.62,1372.1,1058.26,1121.86,1.71,83.92,17.29,294.84,66.63,228.21,1.3
Jun-15,1278.32,41.16,1319.48,1072.51,1043,3.62,69.63,17.99,225.36,51.64,173.72,0.99
Mar-15,1390.51,38.7,1429.21,1137.24,1094.4,2.81,76.22,17.14,272.02,59.08,212.94,1.21
Dec-14,1501.78,32.86,1534.64,1238.42,1176.01,2.44,76.91,16.36,277.42,60.55,216.87,1.23
Sep-14,1293,33.36,1326.36,1067.08,1035.8,1.32,69.31,16.24,241.72,53.07,188.65,1.07
Jun-14,1245.99,32.93,1278.92,1074,965.27,3.32,57.48,16.23,185.37,41.25,144.12,0.82
Mar-14,1250.23,30.76,1280.99,1018.97,1009.87,6.72,67.4,14.85,240.45,52.55,187.9,1.08
Dec-13,1342.14,30.16,1372.3,1121.81,1048.2,4.14,63.78,13.47,232.88,50.31,182.57,1.05
