,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2016-01-01,257.77787163543337,260.0623752981789,257.125140042453,257.7312316894531,124367,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
1,2016-01-04,257.5913875568292,262.0205607365394,256.8920444231907,258.1974792480469,554107,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
2,2016-01-05,258.19746301425306,260.6218580830383,255.40009065558,257.3116455078125,629235,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
3,2016-01-06,257.6379308278558,261.9272399363068,255.7730162986456,257.26495361328125,750275,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
4,2016-01-07,256.4258408635482,256.4258408635482,247.98711093766877,249.6189117431641,910959,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
5,2016-01-08,250.59792918855337,253.5351643417276,249.89858613035275,250.87765502929688,579211,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
6,2016-01-11,248.9661531532336,249.4789933970413,243.97749982387552,245.3295745849609,1259036,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
7,2016-01-12,246.1687321604159,246.1687321604159,236.0981902718559,237.6833648681641,1520863,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
8,2016-01-13,238.5692667054888,240.4807932751848,232.181926881144,239.5017242431641,1266564,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
9,2016-01-14,238.52262572235443,244.1173563622838,235.16577311022485,242.25244140625,1136944,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
10,2016-01-15,241.13347220218887,243.65108992954325,232.6481047736844,233.39407348632807,390418,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
11,2016-01-18,232.6481289658274,234.97927254263928,228.452070527566,230.5967254638672,813644,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
12,2016-01-19,230.5967338878197,236.844196056268,229.85076507035456,232.69476318359372,852044,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
13,2016-01-20,231.2494671514544,234.88604582264765,230.68998694288337,232.4150390625,948030,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
14,2016-01-21,232.6481656700849,234.51308082575696,222.8107353782803,224.1627960205078,1598807,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
15,2016-01-22,225.00200975480428,228.54535129192183,222.85735454327207,224.67564392089844,1104880,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
16,2016-01-25,225.6547132518193,226.07431627793412,220.3863341089032,221.2255401611328,1288751,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
17,2016-01-27,220.0599597917873,221.6451346226192,215.8639012364354,220.85255432128903,2994537,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
18,2016-01-28,220.05994479514248,228.45206133394024,220.05994479514248,227.05337524414065,2276163,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
19,2016-01-29,229.19804879525827,235.58537392293988,226.7270279647567,233.720458984375,1975624,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
20,2016-02-01,233.95355242064852,235.4454899292905,231.29605740785397,234.0934295654297,1161891,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
21,2016-02-02,234.00020797433103,235.3522685106011,223.32357239044327,224.86212158203125,1141536,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
22,2016-02-03,224.11615013274132,231.0163294586016,222.344472469819,227.0067596435547,1841938,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
23,2016-02-04,228.91833958948828,231.62246092391948,228.3588593411773,230.55014038085935,933205,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
24,2016-02-05,229.5709998450253,234.9792553941761,229.47776264565996,234.3265380859375,570371,0.0,0,2016,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3
