Date,Close,Volume,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2016-01-01,257.7312316894531,124367,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,54.508074332715466,0.4135273923281011,4334.907936997252,16.100487869473,-4318.807449127779,4321.740122411462,59.56505853740498,4337.433384486607,4381.3559881393385,4293.510780833875,257.1251095966413,258.1974792480469,262.02052976709325
2016-01-04,258.1974792480469,554107,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,48.30872951803563,0.1765693199139926,4327.524689441552,12.228002922472117,-4315.29668651908,4319.581174848488,77.61480130434734,4337.691476004465,4380.553932054148,4294.829019954781,262.02052976709325,257.3116455078125,260.6218580830383
2016-01-05,257.3116455078125,629235,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,46.946989532955946,0.1245194192164841,4319.047192959491,8.02922470775593,-4311.017968251736,4316.44990504692,74.91717027622276,4334.136021205357,4385.421421064651,4282.850621346062,260.6218580830383,257.26495361328125,261.92727100694
2016-01-06,257.26495361328125,750275,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,39.42152069064871,-0.1631272021914668,4296.098105930094,-1.8003293834208307,-4297.898435313515,4306.2546189347,55.81537761102145,4324.84685407366,4411.132558627946,4238.561149519374,261.92727100694,249.6189117431641,256.4258095137776
2016-01-07,249.6189117431641,910959,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,27.633197237228543,-0.6137132699162272,4237.786492556576,-25.41643816558553,-4263.202930722161,4278.8260207645,30.48525611227621,4298.115513392857,4485.30597182312,4110.925054962594,256.4258095137776,250.87765502929688,253.53517976215068
2016-01-08,250.87765502929688,579211,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,25.57691921204882,-0.6923105558810733,4181.163129592136,-47.60770391948972,-4228.770833511626,4249.357262307216,28.55007722812528,4270.925066266741,4531.161684257377,4010.688448276105,253.53517976215068,245.3295745849609,249.4789623632996
2016-01-11,245.3295745849609,1259036,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,31.528646055116468,-0.46481720578881,4146.683042736209,-60.13637279259001,-4206.819415528799,4227.48502894406,23.06318255230976,4246.348475864956,4536.528166149286,3956.168785580625,249.4789623632996,237.6833648681641,246.1687637674807
2016-01-12,237.6833648681641,1520863,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,31.369303099172555,-0.4709077848454592,4118.460887313968,-69.52147387573041,-4187.982361189698,4207.3111413696,23.553366902224205,4223.011771065848,4535.139604141908,3910.883937989788,246.1687637674807,239.5017242431641,240.4807319905204
2016-01-13,239.5017242431641,1266564,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,33.72956475109521,-0.3806913074351095,4100.058651257425,-74.41676886999176,-4174.475420127416,4190.869192793386,24.18092875758286,4199.976614815848,4519.580643711472,3880.372585920224,240.4807319905204,242.25244140625,244.1173717385385
2016-01-14,242.25244140625,1136944,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,31.476646620233097,-0.4668047845128404,4077.26752647469,-80.62259815543894,-4157.890124630128,4172.254086843419,24.889546775294782,4176.509259905134,4507.874593798325,3845.143926011943,244.1173717385385,233.39407348632807,243.65115364702385
2016-01-15,233.39407348632807,390418,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,34.23784379916633,-0.3612633151101447,4063.744831726627,-82.6872247934416,-4146.432056520069,4157.472265560778,25.72953499822069,4151.93603515625,4477.681270750313,3826.1907995621873,243.65115364702385,230.5967254638672,234.9792880914254
2016-01-18,230.5967254638672,813644,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,32.171510429101744,-0.440244947358768,4045.955191553177,-86.14315424864617,-4132.098345801824,4140.865389678833,26.77005457768216,4125.080793108259,4442.087914610687,3808.073671605831,234.9792880914254,232.6947631835937,236.844196056268
2016-01-19,232.6947631835937,852044,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,30.163528072654472,-0.5169962239611904,4024.583049726917,-90.7171375518842,-4115.300187278801,4122.522579928201,27.822151396853528,4099.006277901785,4412.603340658239,3785.409215145331,236.844196056268,232.4150390625,234.88604582264765
2016-01-20,232.4150390625,948030,1283.96,75.73,1359.69,1040.87,1120.84,3.92,85.89,18.04,296.86,67.85,229.01,1.3,24.210255750911685,-0.7445486470133819,3981.3632659534087,-103.68598855454184,-4085.049254507951,4093.973630012853,23.52609746132853,4061.273489815848,4378.747528719188,3743.799450912508,234.88604582264765,224.1627960205078,234.5130648624228
