MonthYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
21-Dec,23246,328,23574,21687,20360,25.2,850.5,640,1221.8,210.5,1011.3,33.48
21-Sep,20538.9,522.7,21061.6,19684,17916.8,22.5,879.8,756.1,599,123.7,475.3,15.73
21-Jun,17770.7,507.8,18278.5,16949.6,15683.7,22.2,865.9,743.2,563.5,122.7,440.8,14.59
21-Mar,24023.7,89.8,24113.5,22032.6,20732.1,32.4,882.4,741,1307.5,141.4,1166.1,38.6
20-Dec,23457.8,993.7,24451.5,21231.7,21180.9,28.7,1249.7,741.3,2449.8,508.4,1941.4,64.27
20-Sep,18744.5,602.5,19347,16833.5,16454.6,22.4,1142.1,765.9,1747.8,376.2,1371.6,45.41
20-Jun,4106.5,1318.3,5424.8,4980.5,4111,17.3,687,783.3,-345.7,-96.3,-249.4,-8.26
20-Mar,18198.7,880.4,19079.1,16652.3,16037.6,28.3,1106.8,823,1575.5,283.8,1291.7,42.76
19-Dec,20706.8,784,21490.8,18633.4,18405.5,21.7,1299.6,858,2006.4,441.6,1564.8,51.8
19-Sep,16985.3,920,17905.3,15433.8,15173.9,28.2,1139.5,926.1,1572,213.4,1358.6,44.97
19-Jun,19719.8,836.4,20556.2,17672,17834.6,54.7,1394,918.6,1910.9,475.4,1435.5,47.52
19-Mar,21459.4,867.7,22327.1,19196,19371.6,8.8,1326.7,810.2,2312.1,516.5,1795.6,59.44
18-Dec,19668.3,917.3,20585.6,17737.2,17773.2,20.6,1338.5,767.7,2060.1,570.8,1489.3,49.3
18-Sep,22433.2,526.6,22959.8,19001.9,20034.5,25.7,1691.8,721.2,3211,970.6,2240.4,74.17
18-Jun,22459.4,271.8,22731.2,19108.3,19890.1,20.7,1626.9,719.8,2882.4,907.1,1975.3,65.39
18-Mar,21165.6,595,21760.6,18150.6,18814.5,273.1,1454.8,702.5,2634.4,752.3,1882.1,62.3
17-Dec,19283.2,244.9,19528.1,16245.4,17301.9,26.3,1457.4,689,2567.4,768.4,1799,59.56
17-Sep,21768.2,522.9,22291.1,18090.7,19845,15,1701.1,682.5,3502.9,1018.6,2484.3,82.24
17-Jun,17545.7,682.7,18228.4,15214.5,15954.4,31.3,1426.2,683.9,2298.7,742.3,1556.4,51.52
17-Mar,18333.4,449.1,18782.5,15773.9,16391.5,22.6,1275.5,701,2285,574.5,1710.5,56.62
16-Dec,16888.2,596.8,17485,14400,15411.3,29,1308.8,634.1,2421.9,674.7,1747.2,57.84
16-Sep,17868.7,818.9,18687.6,14832.2,16476.2,19.7,1434.2,629.1,3206.6,805.1,2401.5,79.5
16-Jun,14944.7,488.1,15432.8,12729.9,13435.5,18.1,1193.9,638,2046.8,555.9,1490.9,49.35
16-Mar,15243.8,538.4,15782.2,12914.5,13534.2,20.3,1371.2,759.9,2087.5,611.3,1476.2,48.87
15-Dec,15013.2,242.5,15255.7,12868,13183,24.4,1180.3,722.1,1641.2,458.2,1183,39.16
Sep-15,13851.2,473.6,14324.8,11605.8,12401.9,17.8,1204.2,669.4,2031.8,534.8,1497,49.56
Jun-15,13376.9,206.5,13583.4,11209.6,11855.5,19,1146.7,671.6,1683.2,475.1,1208.1,39.99
Mar-15,13624.8,319.9,13944.7,11460.5,12215.1,102.7,1097.3,660,1721.5,437.3,1284.2,42.51
Dec-14,12602.5,102.2,12704.7,10983.2,10922.6,30,889.3,627.8,1063.7,261.5,802.2,26.56
Sep-14,12315.08,181.95,12497.03,10782.94,10858.77,34.79,816.76,598.85,1080.45,217.91,862.54,28.55
Jun-14,11428.09,238.08,11666.17,10041.44,10162.55,38.55,823.9,583.64,1002.54,240.26,762.28,25.23
Mar-14,12109.74,398.27,12508.01,10853.86,10933.41,43.43,810.67,563.69,1047.03,246.98,800.05,26.48
Dec-13,10893.84,116.95,11010.79,9539.05,9575.58,44.8,745.79,541.38,885.56,204.41,681.15,22.55
