MonthYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
21-Dec,40845,2225,43070,29140,34465,126,3845,925,12879,2920,9959,26.93
21-Sep,39315,2524,41839,27680,34166,117,3890,844,13198,3046,10152,27.45
21-Jun,37722,756,38478,26529,31161,120,3548,809,11020,2739,8281,22.39
21-Mar,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
20-Dec,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
20-Sep,33365,1734,35099,24497,27813,149,3005,755,9698,2250,7448,19.85
20-Jun,31624,706,32330,23030,25937,118,3086,739,8443,2347,6096,16.25
20-Mar,33222,2033,35255,23969,27929,211,2848,724,10351,2124,8227,21.92
19-Dec,33040,1206,34246,23595,26984,200,2768,677,9774,2091,7683,20.47
19-Sep,32387,2638,35025,23393,27839,99,2897,664,10869,2233,8636,23.02
19-Jun,32657,2205,34862,22996,27589,233,2919,636,10997,2283,8714,23.22
19-Mar,32046,1648,33694,23004,25954,20,2847,447,10223,2400,7823,20.85
18-Dec,30964,1873,32837,22412,25600,8,2931,430,9987,2501,7486,19.95
18-Sep,30792,1725,32517,21810,25519,130,2957,424,10153,2533,7620,19.92
18-Jun,29368,2381,31749,20980,24895,12,3621,415,10342,3206,7136,18.64
18-Mar,25570,1539,27109,18081,22222,3,2269,420,8605,1849,6756,35.29
17-Dec,24278,1043,25321,17161,20829,2,2089,419,7739,1670,6069,31.7
17-Sep,24032,807,24839,17119,20616,4,1970,412,7304,1558,5746,30.02
17-Jun,23476,2414,25890,17190,21440,21,2009,396,8283,1613,6670,34.11
17-Mar,23406,1054,24460,16691,20116,4,1932,399,7366,1533,5833,29.61
16-Dec,23184,1360,24544,16436,20049,3,2021,394,7711,1627,6084,30.88
16-Sep,23016,1175,24191,16197,19931,3,2033,396,7595,1637,5958,30.24
16-Jun,23087,979,24066,16280,19677,6,2002,386,7394,1616,5778,29.32
16-Mar,22258,940,23198,15560,18827,4,1906,384,7250,1522,5728,29.07
15-Dec,21621,1147,22768,14829,18748,5,1943,365,7569,1578,5991,30.4
Sep-15,21636,679,22315,14565,18068,3,2024,362,7385,1662,5723,29.04
Jun-15,20349,991,21340,13856,17588,1,1850,348,7135,1502,5633,28.59
Mar-15,18798.23,1300.06,20098.29,15300.84,13439.88,5.16,1335.03,367.29,4425,967.74,3457.26,17.65
Dec-14,18936.35,1503.16,20439.51,12795.13,14084.76,12.54,1920.69,350.51,7281.33,1570.18,5711.15,29.16
Sep-14,18405.05,865.17,19270.22,12503.67,13027.22,58.14,1716.73,340.71,6367.7,1376.02,4991.68,25.48
Jun-14,17438.43,1326.72,18765.15,11950.22,12839.77,3.73,1714.33,335.26,6475.94,1379.07,5096.87,26.02
Mar-14,16893.91,685.89,17579.8,11328.87,11604.97,4.55,1617.86,297.21,5949.17,1320.65,4628.52,23.54
Dec-13,16692.65,653.13,17345.78,10913.46,11863.25,4,1651.56,280.36,6147.96,1371.2,4776.76,24.36
Sep-13,16607.72,1513.63,18121.35,10859.27,12690.87,9.83,1644.5,261.74,6990.51,1382.76,5607.75,28.6
Jun-13,14478.65,262.06,14740.71,10037.61,9955.9,5.03,1236.18,241.24,4456.83,994.94,3461.89,17.65
