,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
0,2015-01-01,1120.1821850285803,1120.1821850285803,1108.836358456417,1110.8218994140625,366830,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
1,2015-01-02,1113.200422046359,1130.6337040946787,1113.0259134388173,1125.6153564453125,925740,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
2,2015-01-05,1126.291929908935,1134.539433777913,1101.7019801840938,1108.509521484375,1754242,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
3,2015-01-06,1103.6437671953718,1103.6437671953718,1064.7624403843265,1067.642578125,2423784,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
4,2015-01-07,1077.8534704837443,1081.8462858666585,1050.558010075517,1055.0308837890625,2636332,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
5,2015-01-08,1065.8096611304354,1068.6897987523234,1056.2748650682138,1066.420654296875,1565408,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
6,2015-01-09,1071.30778005207,1099.6286640868884,1069.1258904796623,1096.312255859375,3197642,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
7,2015-01-12,1098.3634371852725,1103.1635952341553,1082.3265455219596,1095.1778564453125,1596006,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
8,2015-01-13,1099.6725608758452,1104.2108494644206,1082.2611212770166,1090.028564453125,1468432,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
9,2015-01-14,1097.9268880155455,1104.82168071839,1091.1630300011414,1100.5233154296875,1787096,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
10,2015-01-15,1105.3454978166671,1126.6189257750416,1101.090812224992,1108.0074462890625,5009920,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
11,2015-01-16,1110.0147970354171,1110.582109793914,1084.093984121282,1104.974609375,5293830,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
12,2015-01-19,1106.6545667811629,1113.2002365373608,1092.254093317528,1095.7451171875,1135074,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
13,2015-01-20,1099.6728147463305,1104.0365957572285,1083.6359195312798,1091.1416015625,2058566,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
14,2015-01-21,1100.5453193188964,1100.5453193188964,1085.817561774482,1096.967041015625,2310480,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
15,2015-01-22,1098.1453261235174,1100.218121791742,1088.9813873797884,1096.8580322265625,2113214,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
16,2015-01-23,1097.0542797452028,1104.9309238647352,1089.2431562474972,1092.5159912109375,3150380,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
17,2015-01-27,1098.5283680325676,1099.687041300215,1088.559016844774,1094.024658203125,2738736,2.5,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
18,2015-01-28,1094.4399203168714,1112.760705687378,1094.3961524898916,1110.443359375,3121980,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
19,2015-01-29,1109.7433237780783,1123.1669115847376,1098.7682781515216,1112.6510009765625,3734392,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
20,2015-01-30,1119.6691849196252,1125.9218987560785,1080.0105203601995,1085.2794189453125,5817402,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
21,2015-02-02,1085.257447177715,1102.5069851712983,1076.5343073388317,1099.3369140625,3181802,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
22,2015-02-03,1098.2220712893288,1121.5494684304915,1096.2326634808578,1118.5980224609375,2345054,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
23,2015-02-04,1122.860981225263,1124.4787891704875,1094.0461724213874,1099.380615234375,2245418,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
24,2015-02-05,1101.8731413737262,1133.2240344031295,1101.4358901271494,1116.0400390625,4530168,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
25,2015-02-06,1116.3024122506035,1134.5795353759577,1115.3623647878417,1126.2498779296875,2136416,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
26,2015-02-09,1120.0191312396057,1123.3422836012255,1093.1281780593458,1098.7686767578125,2076432,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
27,2015-02-10,1097.5004150435796,1104.6057464158737,1063.8320756179398,1067.3956298828125,3799054,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
28,2015-02-11,1073.473390245768,1087.5528550480112,1070.062810138203,1075.593994140625,2937522,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
29,2015-02-12,1084.2956736309895,1084.2956736309895,1069.9538112473558,1076.578125,3107980,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
30,2015-02-13,1080.0103931060746,1114.0066716744946,1075.747194185919,1110.0714111328125,4158326,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
31,2015-02-16,1119.3631791022883,1134.6669725665774,1117.176922893104,1130.20703125,2364392,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
32,2015-02-18,1130.3163139130131,1155.655001351474,1121.6587182053984,1152.441162109375,2660014,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
33,2015-02-19,1152.5945304232605,1175.0255454800674,1152.1572790839498,1172.292724609375,2618002,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
34,2015-02-20,1180.053541412519,1180.053541412519,1155.326965089958,1169.887451171875,1801588,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
35,2015-02-23,1167.897952764018,1190.1977639175054,1167.897952764018,1179.1134033203125,1614892,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
36,2015-02-24,1177.9553090194331,1193.6963599194703,1171.3965378110845,1182.65576171875,2199922,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
37,2015-02-25,1184.9510951290554,1190.1981110484462,1166.5209944125206,1168.4229736328125,1767994,0.0,0.0,2015,21621.0,1147.0,22768.0,14829.0,18748.0,5.0,1943.0,365.0,7569.0,1578.0,5991.0,30.4
